2024-08-15 01:57:04,984: 'h'
2024-08-15 01:57:05,544: 'e'
2024-08-15 01:57:05,960: 'l'
2024-08-15 01:57:06,120: 'l'
2024-08-15 01:57:06,968: 'o'
2024-08-15 01:57:08,232: Key.backspace
2024-08-15 01:57:08,400: Key.backspace
2024-08-15 01:57:08,585: Key.backspace
2024-08-15 01:57:08,800: Key.backspace
2024-08-15 01:57:09,160: Key.backspace
2024-08-15 01:57:33,865: 'w'
2024-08-15 01:57:34,017: 'o'
2024-08-15 01:57:34,160: 'w'
2024-08-15 01:57:34,714: Key.space
2024-08-15 01:57:36,819: 'i'
2024-08-15 01:57:37,161: Key.space
2024-08-15 01:57:37,674: 'j'
2024-08-15 01:57:37,851: 'u'
2024-08-15 01:57:38,082: 's'
2024-08-15 01:57:38,162: 't'
2024-08-15 01:57:38,281: Key.space
2024-08-15 01:57:38,866: 'm'
2024-08-15 01:57:39,001: 'a'
2024-08-15 01:57:39,281: 'd'
2024-08-15 01:57:39,536: 'e'
2024-08-15 01:57:39,824: Key.space
2024-08-15 01:57:39,994: 'a'
2024-08-15 01:57:40,120: Key.space
2024-08-15 01:57:40,915: 'k'
2024-08-15 01:57:41,065: 'e'
2024-08-15 01:57:41,226: 'y'
2024-08-15 01:57:41,598: 'l'
2024-08-15 01:57:41,794: 'o'
2024-08-15 01:57:42,243: 'g'
2024-08-15 01:57:42,370: 'g'
2024-08-15 01:57:42,530: 'e'
2024-08-15 01:57:42,738: 'r'
2024-08-15 01:58:16,731: 'h'
2024-08-15 01:58:17,131: 'e'
2024-08-15 01:58:17,675: 'l'
2024-08-15 01:58:17,802: 'l'
2024-08-15 01:58:18,008: 'o'
2024-08-15 01:58:18,179: Key.space
2024-08-15 01:58:18,626: 'a'
2024-08-15 01:58:19,105: 'h'
2024-08-15 01:58:19,626: 'm'
2024-08-15 01:58:20,347: 'a'
2024-08-15 01:58:20,865: 'd'
2024-08-15 01:58:22,369: Key.enter
2024-08-15 02:03:58,786: 'q'
2024-08-15 02:03:59,162: 'w'
2024-08-15 02:03:59,489: 'e'
2024-08-15 02:04:00,186: '1'
2024-08-15 02:04:00,531: '2'
2024-08-15 02:04:00,873: '3'
2024-08-15 02:04:01,155: '4'
2024-08-15 02:04:01,883: Key.shift
2024-08-15 02:04:02,147: 'Q'
